"Packet.Length.Std","Total.Length.of.Bwd.Packets","Subflow.Bwd.Bytes","Destination.Port","Packet.Length.Variance","Bwd.Packet.Length.Mean","Avg.Bwd.Segment.Size","Bwd.Packet.Length.Max","Init_Win_bytes_backward","Total.Length.of.Fwd.Packets","Subflow.Fwd.Bytes","Init_Win_bytes_forward","Average.Packet.Size","Packet.Length.Mean","Max.Packet.Length"
90.06664,201,201,53,8112,201,201,201,-1,45,45,-1,145.5,97,201
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
73.90083,209,209,53,5461.333,209,209,209,-1,81,81,-1,185.5,123.6667,209
1434.572,11601,11601,80,2057996,1933.5,1933.5,4380,229,56,56,256,833.0714,777.5333,4380
3.464102,6,6,6502,12,6,6,6,0,0,0,29200,3,2,6
2554.159212,26,26,63123,6523729.278,13,13,20,256,11607,11607,8192,1454.125,1292.555556,5840
590.1462,5821,5821,443,348272.5,447.7692,447.7692,2636,114,744,744,8192,252.5,243.1481,2636
4097.538,11607,11607,80,16800000,2901.75,2901.75,11595,229,26,26,8192,1661.857,1454.125,11595
3.464102,6,6,1805,12,6,6,6,0,0,0,29200,3,2,6
8.763561,108,108,53,76.8,54,54,54,-1,76,76,-1,55.5,44.4,54
1804.898987,11607,11607,80,3257660.352,1934.5,1934.5,5840,229,56,56,256,833.5,777.9333333,5840
2.309401,6,6,7911,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464102,6,6,8994,12,6,6,6,0,0,0,29200,3,2,6
27.38612788,188,188,53,750,94,94,94,-1,88,88,-1,80,64,94
53.69357503,143,143,53,2883,143,143,143,-1,50,50,-1,121.5,81,143
46.76537,139,139,53,2187,139,139,139,-1,58,58,-1,127.5,85,139
0,12,12,443,0,6,6,6,1622,6,6,258,8,6,6
9.237604307,61,61,53,85.33333333,61,61,61,-1,45,45,-1,75.5,50.33333333,61
2.309401,6,6,1112,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
3113.953,11601,11601,80,9696701,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
3.464102,6,6,51493,12,6,6,6,0,0,0,29200,3,2,6
2184.062,11607,11607,80,4770126,2321.4,2321.4,7300,229,56,56,256,897.6154,833.5,7300
0,0,0,80,0,0,0,0,-1,36,36,256,7,6,6
2.309401,6,6,5190,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3097.253,11607,11607,80,9592975,2901.75,2901.75,11595,229,62,62,256,898.0769,833.9286,11595
0,30,30,31310,0,6,6,6,0,6,6,229,7,6,6
26.83840532,168,168,53,720.3,84,84,84,-1,70,70,-1,68.25,54.6,84
0,30,30,18000,0,6,6,6,0,6,6,229,7,6,6
2786.259804,11601,11601,80,7763243.696,2900.25,2900.25,7215,229,26,26,8192,1661,1453.375,7215
58.50214,564,564,53,3422.5,141,141,141,-1,120,120,-1,89.25,79.33333,141
0,0,0,80,0,0,0,0,672,0,0,438,0,0,0
1627.462,11607,11607,80,2648632,1934.5,1934.5,4380,229,56,56,256,833.5,777.9333,4380
33.9588,204,204,53,1153.2,102,102,102,-1,80,80,-1,81,64.8,102
3.464102,6,6,9110,12,6,6,6,0,0,0,29200,3,2,6
3.464102,6,6,687,12,6,6,6,0,0,0,29200,3,2,6
12.5,0,0,58050,156.25,0,0,0,-1,43,43,1013,16.33333,12.25,31
3.464102,6,6,6510,12,6,6,6,0,0,0,29200,3,2,6
0,36,36,23365,0,6,6,6,0,6,6,229,6.857142857,6,6
2650.586,11607,11607,80,7025604,2321.4,2321.4,7215,229,26,26,8192,1454.125,1292.556,7215
3113.953,11601,11601,80,9696701,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
2.309401,6,6,1723,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
223.7909,952,952,443,50082.35,63.46667,63.46667,811,63,1591,1591,29200,72.65714,70.63889,992
0,6,6,80,0,6,6,6,16616,6,6,65535,9,6,6
2460.653,11601,11601,80,6054813,2320.2,2320.2,7300,229,26,26,8192,1453.375,1291.889,7300
3113.953,11601,11601,80,9696701,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
2.309401,6,6,5987,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
37.0842,210,210,53,1375.238,105,105,105,-1,116,116,-1,59.16667,50.71429,105
0,0,0,443,0,0,0,0,-1,12,12,256,9,6,6
0,30,30,49882,0,6,6,6,0,6,6,229,7,6,6
9.237604,61,61,53,85.33333,61,61,61,-1,45,45,-1,75.5,50.33333,61
2.309401077,6,6,9929,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
2175.302587,11607,11607,80,4731941.346,2321.4,2321.4,7215,229,56,56,256,897.6153846,833.5,7215
3113.952607,26,26,54829,9696700.839,13,13,20,256,11601,11601,8192,1661,1453.375,8760
3.464102,6,6,2068,12,6,6,6,0,0,0,29200,3,2,6
2.309401,6,6,15004,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
2.309401,6,6,2200,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,80,0,0,0,0,-1,0,0,251,0,0,0
0,0,0,443,0,0,0,0,-1,12,12,252,9,6,6
3.464102,6,6,27352,12,6,6,6,0,0,0,29200,3,2,6
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
80.82904,188,188,53,6533.333,188,188,188,-1,48,48,-1,142,94.66667,188
3.464102,6,6,5061,12,6,6,6,0,0,0,29200,3,2,6
64.63126,310,310,53,4177.2,155,155,155,-1,74,74,-1,105.25,84.2,155
42.72236,228,228,53,1825.2,114,114,114,-1,72,72,-1,84,67.2,114
8.763561,96,96,53,76.8,48,48,48,-1,64,64,-1,48,38.4,48
3.464102,6,6,5801,12,6,6,6,0,0,0,29200,3,2,6
1645.242,11601,11601,80,2706820,1933.5,1933.5,4380,229,26,26,8192,1291.889,1162.7,4380
3303.602601,11601,11601,80,10900000,2900.25,2900.25,8760,229,20,20,8192,1936.833333,1660.142857,8760
45.46097,240,240,53,2066.7,120,120,120,-1,74,74,-1,87.75,70.2,120
37.52777,113,113,53,1408.333,113,113,113,-1,48,48,-1,104.5,69.66667,113
3.464102,6,6,13782,12,6,6,6,0,0,0,29200,3,2,6
27.71281292,99,99,53,768,99,99,99,-1,51,51,-1,100.5,67,99
53.12909,280,280,53,2822.7,140,140,140,-1,86,86,-1,102.25,81.8,140
2.309401077,6,6,90,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
3.464102,6,6,2099,12,6,6,6,0,0,0,29200,3,2,6
2037.845,11607,11607,80,4152810,2321.4,2321.4,5840,229,62,62,256,833.9286,778.3333,5840
2.309401,6,6,1322,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,80,0,0,0,0,-1,36,36,256,7,6,6
2.309401,6,6,6666,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
3.464101615,6,6,5555,12,6,6,6,0,0,0,29200,3,2,6
1051.668,20436,20436,80,1106006,1202.118,1202.118,4380,64,1645,1645,8192,788.6071,761.4138,4380
3.464101615,6,6,1037,12,6,6,6,0,0,0,29200,3,2,6
714.2117,7600,7600,443,510098.3,690.9091,690.9091,1607,146,2302,2302,8192,521.1579,495.1,1955
3.464102,6,6,1052,12,6,6,6,0,0,0,29200,3,2,6
2.309401,6,6,23502,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464101615,6,6,7938,12,6,6,6,0,0,0,29200,3,2,6
3.464101615,6,6,5718,12,6,6,6,0,0,0,29200,3,2,6
0,0,0,443,0,0,0,0,-1,12,12,16417,9,6,6
1903.962654,11607,11607,80,3625073.789,1934.5,1934.5,4380,229,26,26,8192,1292.555556,1163.3,4380
189.3657,6444,6444,443,35859.38,89.5,89.5,1430,511,4822,4822,8192,84.70677,84.07463,1430
3.464101615,6,6,7777,12,6,6,6,0,0,0,29200,3,2,6
8.763561,102,102,53,76.8,51,51,51,-1,70,70,-1,51.75,41.4,51
2138.329,11607,11607,80,4572452,1934.5,1934.5,5840,229,26,26,8192,1292.556,1163.3,5840
13.89758,12,12,51424,193.1429,6,6,6,0,38,38,349,8.333333,7.142857,38
1008.168,36,36,59391,1016402,6,6,6,0,14180,14180,340,888.5,836.2353,2836
0,0,0,443,0,0,0,0,-1,12,12,0,9,6,6
17.52712,134,134,53,307.2,67,67,67,-1,70,70,-1,59.75,47.8,67
0,0,0,80,0,0,0,0,29,0,0,29200,0,0,0
2.309401,6,6,1875,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464102,6,6,8087,12,6,6,6,0,0,0,29200,3,2,6
3.464101615,6,6,20,12,6,6,6,0,0,0,29200,3,2,6
8.763561,108,108,53,76.8,54,54,54,-1,76,76,-1,55.5,44.4,54
63.70479,341,341,53,4058.3,170.5,170.5,199,-1,115,115,-1,133,106.4,199
3.464102,6,6,7937,12,6,6,6,0,0,0,29200,3,2,6
135.6501,616,616,53,18400.95,308,308,308,-1,120,120,-1,127.6667,109.4286,308
2.309401,6,6,22939,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464101615,6,6,13782,12,6,6,6,0,0,0,29200,3,2,6
0,0,0,80,0,0,0,0,32,0,0,410,0,0,0
12.5,0,0,57322,156.25,0,0,0,-1,43,43,946,16.33333333,12.25,31
2.309401077,6,6,3826,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
3.464102,6,6,2040,12,6,6,6,0,0,0,29200,3,2,6
31.22019,176,176,53,974.7,88,88,88,-1,62,62,-1,67.25,53.8,88
0,30,30,27431,0,6,6,6,0,6,6,229,7,6,6
1645.242,11601,11601,80,2706820,1933.5,1933.5,4380,229,26,26,8192,1291.889,1162.7,4380
1911.596,26,26,60855,3654198,13,13,20,256,11601,11601,8192,1291.889,1162.7,5840
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
2131.871,11607,11607,80,4544874,1934.5,1934.5,5755,229,26,26,8192,1292.556,1163.3,5755
2.309401,6,6,17988,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464101615,6,6,38292,12,6,6,6,0,0,0,29200,3,2,6
2.309401077,6,6,3493,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
2705.044255,11607,11607,80,7317264.423,2321.4,2321.4,10135,229,56,56,256,897.6153846,833.5,10135
2897.219747,68,68,56376,8393882.263,6.8,6.8,20,256,11613,11613,229,779.1333333,730.4375,11595
1903.962654,11607,11607,80,3625073.789,1934.5,1934.5,4380,229,26,26,8192,1292.555556,1163.3,4380
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
0,0,0,138,0,0,0,0,-1,3055,3055,-1,253.0769231,235,235
3.464101615,6,6,6129,12,6,6,6,0,0,0,29200,3,2,6
3.464102,6,6,5730,12,6,6,6,0,0,0,29200,3,2,6
159.704,71,71,54561,25505.37,17.75,17.75,53,255,325,325,14472,144.2,120.1667,325
47.10414,254,254,53,2218.8,127,127,127,-1,82,82,-1,94.25,75.4,127
3.464102,6,6,6129,12,6,6,6,0,0,0,29200,3,2,6
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
934.8551,6649,6649,443,873954,316.619,316.619,1493,26064,7423,7423,29200,312.7111,305.913,5792
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
2.309401,6,6,515,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464101615,6,6,20031,12,6,6,6,0,0,0,29200,3,2,6
2.309401,6,6,1805,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,6,6,58430,0,6,6,6,256,6,6,946,9,6,6
0,0,0,443,0,0,0,0,-1,18,18,32846,8,6,6
2662.265,11607,11607,80,7087654,2321.4,2321.4,7300,229,26,26,8192,1454.125,1292.556,7300
2.309401,6,6,49167,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
34.06367,109,109,53,1160.333,109,109,109,-1,50,50,-1,104.5,69.66667,109
0,0,0,80,0,0,0,0,-1,12,12,253,9,6,6
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
2.309401,6,6,6543,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
2.309401,6,6,1090,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
3.464101615,6,6,5001,12,6,6,6,0,0,0,29200,3,2,6
28.30110212,186,186,53,800.952381,93,93,93,-1,140,140,-1,60.16666667,51.57142857,93
327.4635,3743,3743,443,107232.3,187.15,187.15,1460,33360,2046,2046,8192,137.8333,134.6279,1460
608.9246,5605,5605,443,370789.2,560.5,560.5,1546,1507,1803,1803,8192,411.5556,389.8947,1546
34.78505426,496,496,53,1210,124,124,124,-1,232,232,-1,98.25,87.33333333,124
451.9299,6022,6022,443,204240.6,354.2353,354.2353,1889,360,954,954,8192,211.3939,205.1765,1889
2402.714,11601,11601,80,5773034,2900.25,2900.25,8760,229,62,62,256,897.6154,833.5,8760
0,30,30,40581,0,6,6,6,0,6,6,229,7,6,6
3.464102,6,6,8181,12,6,6,6,0,0,0,29200,3,2,6
0,0,0,80,0,0,0,0,-1,0,0,30770,0,0,0
4097.537534,11607,11607,80,16800000,2901.75,2901.75,11595,229,26,26,8192,1661.857143,1454.125,11595
2.309401,6,6,587,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3113.953,11601,11601,80,9696701,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
3.464102,6,6,3546,12,6,6,6,0,0,0,29200,3,2,6
18.11422093,129,129,443,328.125,32.25,32.25,46,123,98,98,254,39,34.125,46
1804.898987,11607,11607,80,3257660.352,1934.5,1934.5,5840,229,56,56,256,833.5,777.9333333,5840
0,0,0,7058,0,0,0,0,-1,12,12,36,9,6,6
634.1901472,30,30,17248,402197.1429,5,5,6,0,1375,1375,229,397.1428571,347.5,1375
1707.681,62,62,58596,2916175,6.888889,6.888889,20,256,11613,11613,229,730.0625,687.1176,5840
3113.952607,11601,11601,80,9696700.839,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
2.309401077,6,6,9111,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
0,36,36,57572,0,6,6,6,0,6,6,229,6.857143,6,6
3.464102,6,6,3370,12,6,6,6,0,0,0,29200,3,2,6
2.309401,6,6,911,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,6,6,60039,0,6,6,6,255,6,6,31,9,6,6
2615.388,11607,11607,80,6840253,2321.4,2321.4,10135,229,62,62,256,833.9286,778.3333,10135
55.8677,264,264,53,3121.2,132,132,132,-1,60,60,-1,88.5,70.8,132
76.68116,356,356,53,5880,178,178,178,-1,76,76,-1,117.5,94,178
3113.953,11601,11601,80,9696701,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
0,0,0,39425,0,0,0,0,309,0,0,349,0,0,0
2.309401077,6,6,10616,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
0,0,0,443,0,0,0,0,-1,12,12,256,9,6,6
40.9243204,392,392,53,1674.8,98,98,143,-1,242,242,-1,67.1,61,143
3.464102,6,6,5959,12,6,6,6,0,0,0,29200,3,2,6
55.8677,264,264,53,3121.2,132,132,132,-1,60,60,-1,88.5,70.8,132
2.309401,6,6,199,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
80.25168742,186,186,53,6440.333333,186,186,186,-1,47,47,-1,140,93.33333333,186
3.464102,6,6,1086,12,6,6,6,0,0,0,29200,3,2,6
2.309401,6,6,340,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464101615,6,6,4002,12,6,6,6,0,0,0,29200,3,2,6
451.4898,3690,3690,443,203843.1,461.25,461.25,1460,114,885,885,8192,254.1667,240.7895,1460
3.464102,6,6,5633,12,6,6,6,0,0,0,29200,3,2,6
12.5,0,0,5992,156.25,0,0,0,-1,43,43,1013,16.33333,12.25,31
29.44486,90,90,53,867,90,90,90,-1,39,39,-1,84,56,90
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
2705.044255,11607,11607,80,7317264.423,2321.4,2321.4,10135,229,56,56,256,897.6153846,833.5,10135
2.309401,6,6,22939,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464101615,6,6,6000,12,6,6,6,0,0,0,29200,3,2,6
2.309401,6,6,7778,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464102,6,6,10012,12,6,6,6,0,0,0,29200,3,2,6
33.07189,210,210,53,1093.75,105,105,105,-1,180,180,-1,52.5,46.66667,105
1434.571657,11601,11601,80,2057995.838,1933.5,1933.5,4380,229,56,56,256,833.0714286,777.5333333,4380
0,46,46,53,0,23,23,23,-1,46,46,-1,28.75,23,23
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
1754.345,11607,11607,80,3077726,1934.5,1934.5,5840,229,62,62,256,778.3333,729.6875,5840
46.55642,262,262,53,2167.5,131,131,131,-1,92,92,-1,100,80,131
3.464102,6,6,1052,12,6,6,6,0,0,0,29200,3,2,6
3.464101615,6,6,9001,12,6,6,6,0,0,0,29200,3,2,6
0,0,0,443,0,0,0,0,-1,12,12,64209,9,6,6
2.309401,6,6,1805,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
2258.947,11601,11601,80,5102843,1933.5,1933.5,7300,229,26,26,8192,1291.889,1162.7,7300
2.309401077,6,6,6502,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
2.309401077,6,6,5087,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
2033.251,11601,11601,80,4134108,2320.2,2320.2,7300,229,56,56,256,897.1538,833.0714,7300
2.309401,6,6,1174,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3113.953,11601,11601,80,9696701,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
316.3863,4520,4520,465,100100.3,188.3333,188.3333,1418,175,1378,1378,29200,143.8537,140.4286,1418
3.464102,6,6,5907,12,6,6,6,0,0,0,29200,3,2,6
0,0,0,80,0,0,0,0,-1,36,36,256,7,6,6
21.36118,154,154,53,456.3,77,77,77,-1,76,76,-1,67,53.6,77
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
0,0,0,56766,0,0,0,0,-1,0,0,357,0,0,0
472.5158883,3112,3112,443,223271.2647,518.6666667,518.6666667,1448,119,348,348,29200,216.25,203.5294118,1448
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
2.309401,6,6,5432,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
831.4154,18245,18245,80,691251.5,651.6071,651.6071,2341,155,15904,15904,8192,711.4375,696.9184,2341
73.90083,178,178,53,5461.333,178,178,178,-1,50,50,-1,139,92.66667,178
1911.596,26,26,56117,3654198,13,13,20,256,11601,11601,8192,1291.889,1162.7,5840
31.75426481,109,109,53,1008.333333,109,109,109,-1,54,54,-1,108.5,72.33333333,109
3.464102,6,6,18988,12,6,6,6,0,0,0,29200,3,2,6
3.464102,6,6,26214,12,6,6,6,0,0,0,29200,3,2,6
3.464102,6,6,720,12,6,6,6,0,0,0,29200,3,2,6
2.309401,6,6,5102,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
